FID,OBJECTID,PERIMETER,POLYID,SNBNAME,population,Income,cohgisCOHG,cohgisCO_1,COUNCIL_AC,RECOGNITIO,SnbrInfoUR,WeCan,Top10,Shape__Area,Shape__Length
59,62,47081.994,35,SOUTH MAIN,6006,50934,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_35.htm, , ,9633465.816,16544.02335
60,63,55769.223,72,SOUTH PARK,21208,29475,0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_72.htm,Y, ,15060839.47,19602.83668
23,25,57315.513,85,SPRING BRANCH CENTRAL,28080,53651,0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_85.htm, , ,12906739.37,20184.82158
20,21,57962.346,86,SPRING BRANCH EAST,26877,65467,0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_86.htm, , ,21103293.77,20397.46765
21,23,43303.814,84,SPRING BRANCH NORTH,20942,52122,0,0,Yes,2005-03-14T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_84.htm, , ,11663328,15235.47965
87,22,72548.445,10,SPRING BRANCH WEST,31878,71534,0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_10.htm, , ,28357758.17,33952.95065
52,55,67155.805,71,SUNNYSIDE,20071,35990,0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_71.htm,Y,Y,21852826.01,23604.49981
29,31,58565.13,48,TRINITY / HOUSTON GARDENS,15798,27789,0,0,Yes,2001-03-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_48.htm,Y, ,23716026.86,20614.63135
70,73,40113.96,28,UNIVERSITY PLACE,16342,111510,0,0,No,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_28.htm, , ,9526194.559,14108.50776
10,11,88194.439,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,29033,99302,0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_22.htm, , ,27651487.91,30863.83007
43,45,31832.84,8,WESTBRANCH,3633,81240,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_8.htm, , ,4769620.613,11200.99705
56,59,42778.309,37,WESTBURY,20963,62120,0,0,Yes,2005-03-14T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_37.htm, , ,12737775.29,15030.51612
71,74,48181.159,19,WESTCHASE,29149,48898,0,0,Yes,2010-10-12T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_19.htm, , ,14897004.98,16925.02734
45,47,38113.022,29,WESTWOOD,19530,29527,0,0,Yes,2008-09-09T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_29.htm,Y, ,7514035.238,13464.63568
57,60,43226.715,38,WILLOW MEADOWS / WILLOWBEND AREA,14014,59659,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_38.htm, , ,10992898.49,15196.70997
