Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Period of Measure
77035,37962,dollars,35539,40385,2010-2014
77035,36345,dollars,32888,39802,2009-2013
77035,36151,dollars,33446,38856,2008-2012
77035,39059,dollars,36159,41959,2007-2011
77036,30632,dollars,29423,31841,2014-2018
77036,29744,dollars,28332,31156,2013-2017
77036,27576,dollars,26374,28778,2012-2016
77036,27204,dollars,26143,28265,2011-2015
77036,27935,dollars,26565,29305,2010-2014
77036,28266,dollars,26974,29558,2009-2013
77036,28175,dollars,26937,29413,2008-2012
77036,28450,dollars,27107,29793,2007-2011
77037,42906,dollars,36547,49265,2014-2018
77037,41491,dollars,35988,46994,2013-2017
77037,39513,dollars,34205,44821,2012-2016
77037,37521,dollars,32434,42608,2011-2015
77037,36229,dollars,32403,40055,2010-2014
77037,35518,dollars,32104,38932,2009-2013
77037,34864,dollars,30131,39597,2008-2012
77037,38013,dollars,34362,41664,2007-2011
77038,41523,dollars,39197,43849,2014-2018
77038,41347,dollars,38153,44541,2013-2017
77038,40832,dollars,37918,43746,2012-2016
77038,40603,dollars,37309,43897,2011-2015
77038,39758,dollars,36028,43488,2010-2014
77038,38160,dollars,34187,42133,2009-2013
77038,38746,dollars,36678,40814,2008-2012
77038,40581,dollars,37484,43678,2007-2011
77039,36347,dollars,32214,40480,2014-2018
77039,34608,dollars,31516,37700,2013-2017
77039,36021,dollars,30987,41055,2012-2016
77039,36604,dollars,32419,40789,2011-2015
77039,37275,dollars,33676,40874,2010-2014
77039,38167,dollars,35063,41271,2009-2013
77039,39483,dollars,35616,43350,2008-2012
77039,40889,dollars,38390,43388,2007-2011
77040,56974,dollars,50761,63187,2014-2018
77040,55438,dollars,51312,59564,2013-2017
77040,54468,dollars,51258,57678,2012-2016
77040,51998,dollars,49576,54420,2011-2015
77040,53233,dollars,50759,55707,2010-2014
77040,53194,dollars,50929,55459,2009-2013
77040,53332,dollars,51439,55225,2008-2012
77040,53666,dollars,50715,56617,2007-2011
77041,82986,dollars,76310,89662,2014-2018
77041,79503,dollars,70491,88515,2013-2017
77041,75808,dollars,69111,82505,2012-2016
77041,75185,dollars,70648,79722,2011-2015
77041,74020,dollars,69630,78410,2010-2014
77041,70608,dollars,66823,74393,2009-2013
77041,70413,dollars,66120,74706,2008-2012
77041,69246,dollars,63733,74759,2007-2011
77042,48269,dollars,44546,51992,2014-2018
77042,47297,dollars,43243,51351,2013-2017
77042,46383,dollars,43825,48941,2012-2016
77042,44520,dollars,41502,47538,2011-2015
77042,45403,dollars,41513,49293,2010-2014
77042,46159,dollars,42179,50139,2009-2013
77042,46885,dollars,43413,50357,2008-2012
77042,48438,dollars,46065,50811,2007-2011
77043,64298,dollars,58169,70427,2014-2018
77043,60043,dollars,56140,63946,2013-2017
77043,58409,dollars,55384,61434,2012-2016
77043,58655,dollars,54749,62561,2011-2015
77043,52598,dollars,45789,59407,2010-2014
77043,54359,dollars,48693,60025,2009-2013
77043,52263,dollars,46210,58316,2008-2012
77043,53615,dollars,47776,59454,2007-2011
77044,78483,dollars,72820,84146,2014-2018
77044,76387,dollars,68807,83967,2013-2017
77044,71788,dollars,64906,78670,2012-2016
77044,73716,dollars,65936,81496,2011-2015
77044,74455,dollars,66166,82744,2010-2014
77044,72761,dollars,66235,79287,2009-2013
77044,66186,dollars,59704,72668,2008-2012
77044,63892,dollars,58151,69633,2007-2011
77045,56826,dollars,50993,62659,2014-2018
77045,51170,dollars,47251,55089,2013-2017
77045,44690,dollars,39922,49458,2012-2016
77045,40488,dollars,36311,44665,2011-2015
77045,39020,dollars,35701,42339,2010-2014
77045,36952,dollars,34556,39348,2009-2013
77045,37276,dollars,33669,40883,2008-2012
77045,40512,dollars,37481,43543,2007-2011
77046,81803,dollars,60105,103501,2014-2018
77046,90036,dollars,59804,120268,2013-2017
77046,78750,dollars,57288,100212,2012-2016
77046,98047,dollars,52803,143291,2011-2015
77046,98846,dollars,52054,145638,2010-2014
77046,85493,dollars,65507,105479,2009-2013
77046,85943,dollars,67709,104177,2008-2012
77046,79185,dollars,47083,111287,2007-2011
77047,64648,dollars,59526,69770,2014-2018
77047,56706,dollars,49764,63648,2013-2017
77047,52476,dollars,41672,63280,2012-2016
77047,50180,dollars,47109,53251,2011-2015
77047,50023,dollars,46020,54026,2010-2014
77047,49246,dollars,45243,53249,2009-2013
77047,49625,dollars,44690,54560,2008-2012
77047,47306,dollars,43331,51281,2007-2011
77048,42691,dollars,36506,48876,2014-2018
77048,41220,dollars,37588,44852,2013-2017
77048,40077,dollars,34985,45169,2012-2016
77048,40407,dollars,35898,44916,2011-2015
77048,40026,dollars,36036,44016,2010-2014
77048,36818,dollars,32207,41429,2009-2013
77048,36721,dollars,31135,42307,2008-2012
77048,32500,dollars,26213,38787,2007-2011
77049,58774,dollars,54281,63267,2014-2018
77049,56760,dollars,53529,59991,2013-2017
77049,52735,dollars,49910,55560,2012-2016
77049,52287,dollars,50096,54478,2011-2015
77049,52300,dollars,49219,55381,2010-2014
77049,50348,dollars,46302,54394,2009-2013
77049,50182,dollars,46582,53782,2008-2012
77049,53695,dollars,48412,58978,2007-2011
77050,56275,dollars,47339,65211,2014-2018
77050,57163,dollars,46882,67444,2013-2017
77050,52963,dollars,45590,60336,2012-2016
77050,54500,dollars,42384,66616,2011-2015
77050,49577,dollars,39535,59619,2010-2014
77050,44327,dollars,33986,54668,2009-2013
77050,46934,dollars,32852,61016,2008-2012
77050,47083,dollars,36899,57267,2007-2011
77051,27496,dollars,22501,32491,2014-2018
77051,27244,dollars,24052,30436,2013-2017
77051,26960,dollars,23120,30800,2012-2016
77051,23832,dollars,22144,25520,2011-2015
77051,23237,dollars,21768,24706,2010-2014
77051,22920,dollars,20789,25051,2009-2013
77051,23481,dollars,21144,25818,2008-2012
77051,23147,dollars,20768,25526,2007-2011
77054,50665,dollars,48387,52943,2014-2018
77054,48681,dollars,45921,51441,2013-2017
77054,46646,dollars,42866,50426,2012-2016
77054,46019,dollars,42054,49984,2011-2015
77054,43226,dollars,39670,46782,2010-2014
77054,41694,dollars,37938,45450,2009-2013
77054,42447,dollars,39832,45062,2008-2012
77054,39561,dollars,37028,42094,2007-2011
77055,53263,dollars,49929,56597,2014-2018
77055,52269,dollars,48992,55546,2013-2017
77055,47808,dollars,44694,50922,2012-2016
77055,45332,dollars,42289,48375,2011-2015
77055,45264,dollars,41909,48619,2010-2014
77055,46987,dollars,44621,49353,2009-2013
77055,43470,dollars,39748,47192,2008-2012
77055,45090,dollars,41489,48691,2007-2011
77056,109515,dollars,103921,115109,2014-2018
77056,107003,dollars,101697,112309,2013-2017
77056,98862,dollars,92105,105619,2012-2016
77056,93143,dollars,85712,100574,2011-2015
77056,92521,dollars,82447,102595,2010-2014
77056,93069,dollars,85366,100772,2009-2013
77056,90348,dollars,82639,98057,2008-2012
77056,89197,dollars,81184,97210,2007-2011
77057,59104,dollars,54566,63642,2014-2018
77057,57093,dollars,52203,61983,2013-2017
77057,57920,dollars,53491,62349,2012-2016
77057,56792,dollars,53440,60144,2011-2015
77057,52624,dollars,48709,56539,2010-2014
77057,54594,dollars,50827,58361,2009-2013
77057,54614,dollars,50919,58309,2008-2012
77057,56080,dollars,52365,59795,2007-2011
77058,57027,dollars,52880,61174,2014-2018
77058,51635,dollars,46135,57135,2013-2017
77058,50981,dollars,45150,56812,2012-2016
77058,51868,dollars,47498,56238,2011-2015
77058,49530,dollars,44227,54833,2010-2014
77058,49589,dollars,45472,53706,2009-2013
77058,52861,dollars,48690,57032,2008-2012
77058,52114,dollars,49500,54728,2007-2011
77059,134688,dollars,122305,147071,2014-2018
77059,126385,dollars,115047,137723,2013-2017
77059,131453,dollars,115171,147735,2012-2016
77059,128406,dollars,113030,143782,2011-2015
77059,132137,dollars,120510,143764,2010-2014
77059,136355,dollars,128996,143714,2009-2013
77059,135394,dollars,127015,143773,2008-2012
77059,131456,dollars,124482,138430,2007-2011
77060,30342,dollars,28709,31975,2014-2018
77060,28948,dollars,26616,31280,2013-2017
77060,27439,dollars,25855,29023,2012-2016
77060,25968,dollars,24635,27301,2011-2015
77060,26427,dollars,24709,28145,2010-2014
77060,27750,dollars,25563,29937,2009-2013
77060,28734,dollars,27056,30412,2008-2012
77060,27911,dollars,25732,30090,2007-2011
77061,38500,dollars,33518,43482,2014-2018
77061,39180,dollars,34661,43699,2013-2017
77061,35772,dollars,32963,38581,2012-2016
77061,33828,dollars,30741,36915,2011-2015
77061,33302,dollars,30492,36112,2010-2014
77061,34566,dollars,29212,39920,2009-2013
77061,31854,dollars,27649,36059,2008-2012
77061,33904,dollars,29905,37903,2007-2011
77062,92166,dollars,85405,98927,2014-2018
77062,88433,dollars,81191,95675,2013-2017
77062,83452,dollars,75590,91314,2012-2016
77062,84051,dollars,77935,90167,2011-2015
77062,83932,dollars,77006,90858,2010-2014
77062,87960,dollars,82863,93057,2009-2013
77062,88897,dollars,82473,95321,2008-2012
77062,87288,dollars,82309,92267,2007-2011
77063,45262,dollars,42372,48152,2014-2018
77063,44957,dollars,42359,47555,2013-2017
77063,44670,dollars,42509,46831,2012-2016
77063,46285,dollars,42644,49926,2011-2015
77063,46611,dollars,44122,49100,2010-2014
77063,49873,dollars,47103,52643,2009-2013
77063,50460,dollars,46417,54503,2008-2012
77063,46074,dollars,43722,48426,2007-2011
77064,70324,dollars,64900,75748,2014-2018
77064,67763,dollars,61140,74386,2013-2017
77064,67095,dollars,61367,72823,2012-2016
77064,63594,dollars,59286,67902,2011-2015
77064,64234,dollars,60241,68227,2010-2014
77064,62610,dollars,57315,67905,2009-2013
77064,64945,dollars,60578,69312,2008-2012
77064,64453,dollars,60736,68170,2007-2011
77065,56362,dollars,52107,60617,2014-2018
77065,54688,dollars,49688,59688,2013-2017
77065,54928,dollars,50916,58940,2012-2016
77065,53769,dollars,49548,57990,2011-2015
77065,56341,dollars,52038,60644,2010-2014
77065,54091,dollars,49954,58228,2009-2013
77065,56110,dollars,52298,59922,2008-2012
77065,58284,dollars,52973,63595,2007-2011
77066,60106,dollars,55690,64522,2014-2018
77066,61430,dollars,57128,65732,2013-2017
77066,59640,dollars,54924,64356,2012-2016
77066,60816,dollars,57514,64118,2011-2015
77066,60143,dollars,56368,63918,2010-2014
77066,59855,dollars,56288,63422,2009-2013
77066,61850,dollars,58281,65419,2008-2012
77066,61204,dollars,56732,65676,2007-2011
77067,41859,dollars,39929,43789,2014-2018
77067,40138,dollars,37926,42350,2013-2017
77067,38033,dollars,36024,40042,2012-2016
77067,38720,dollars,36894,40546,2011-2015
77067,38323,dollars,35806,40840,2010-2014
77067,37309,dollars,33942,40676,2009-2013
77067,37254,dollars,34158,40350,2008-2012
77067,38093,dollars,35655,40531,2007-2011
77068,81728,dollars,71224,92232,2014-2018
77068,80313,dollars,68607,92019,2013-2017
77068,81920,dollars,65446,98394,2012-2016
77068,71276,dollars,63346,79206,2011-2015
77068,71932,dollars,64299,79565,2010-2014
77068,67945,dollars,56830,79060,2009-2013
77068,73750,dollars,61313,86187,2008-2012
77068,72069,dollars,55997,88141,2007-2011
77069,67431,dollars,60451,74411,2014-2018
77069,64313,dollars,57728,70898,2013-2017
77069,65307,dollars,56973,73641,2012-2016
77069,67618,dollars,57812,77424,2011-2015
77069,64498,dollars,57608,71388,2010-2014
77069,68495,dollars,61251,75739,2009-2013
77069,66856,dollars,58163,75549,2008-2012
77069,67895,dollars,61867,73923,2007-2011
